"","collection","pathway","gene_id","gene_symbol"
"1","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","ENSG00000214435","AS3MT"
"2","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","ENSG00000131143","COX4I1"
"3","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","ENSG00000131055","COX4I2"
"4","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","ENSG00000178741","COX5A"
"5","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","ENSG00000135940","COX5B"
"6","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","ENSG00000111775","COX6A1"
"7","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","ENSG00000156885","COX6A2"
"8","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","ENSG00000126267","COX6B1"
"9","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","ENSG00000160471","COX6B2"
"10","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","ENSG00000164919","COX6C"
"11","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","ENSG00000161281","COX7A1"
"12","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","ENSG00000112695","COX7A2"
"13","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","ENSG00000115944","COX7A2L"
"14","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","ENSG00000131174","COX7B"
"15","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","ENSG00000127184","COX7C"
"16","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","ENSG00000176340","COX8A"
"17","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","ENSG00000187581","COX8C"
"18","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","ENSG00000148834","GSTO1"
"19","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","ENSG00000198804","MT-CO1"
"20","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","ENSG00000198712","MT-CO2"
"21","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","ENSG00000198938","MT-CO3"
"22","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM","ENSG00000117448","AKR1A1"
"23","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM","ENSG00000187134","AKR1C1"
"24","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM","ENSG00000151632","AKR1C2"
"25","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM","ENSG00000196139","AKR1C3"
"26","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM","ENSG00000198610","AKR1C4"
"27","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM","ENSG00000140465","CYP1A1"
"28","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM","ENSG00000138061","CYP1B1"
"29","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM","ENSG00000143819","EPHX1"
"30","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM","ENSG00000120915","EPHX2"
"31","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM","ENSG00000105131","EPHX3"
"32","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM","ENSG00000172031","EPHX4"
"33","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS","ENSG00000243955","GSTA1"
"34","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS","ENSG00000244067","GSTA2"
"35","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS","ENSG00000174156","GSTA3"
"36","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS","ENSG00000170899","GSTA4"
"37","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS","ENSG00000182793","GSTA5"
"38","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS","ENSG00000134184","GSTM1"
"39","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS","ENSG00000213366","GSTM2"
"40","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS","ENSG00000134202","GSTM3"
"41","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS","ENSG00000168765","GSTM4"
"42","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS","ENSG00000134201","GSTM5"
"43","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS","ENSG00000148834","GSTO1"
"44","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS","ENSG00000065621","GSTO2"
"45","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS","ENSG00000084207","GSTP1"
"46","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS","ENSG00000277656","GSTT1"
"47","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS","ENSG00000099984","GSTT2"
"48","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS","ENSG00000133433","GSTT2B"
"49","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS","ENSG00000008394","MGST1"
"50","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS","ENSG00000085871","MGST2"
"51","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS","ENSG00000143198","MGST3"
"52","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_E2_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY","ENSG00000198719","DLL1"
"53","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_E2_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY","ENSG00000090932","DLL3"
"54","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_E2_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY","ENSG00000128917","DLL4"
"55","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_E2_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY","ENSG00000138798","EGF"
"56","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_E2_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY","ENSG00000091831","ESR1"
"57","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_E2_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY","ENSG00000140009","ESR2"
"58","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_E2_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY","ENSG00000102678","FGF9"
"59","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000078061","ARAF"
"60","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000157764","BRAF"
"61","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000174343","CHRNA9"
"62","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000091831","ESR1"
"63","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000140009","ESR2"
"64","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000170345","FOS"
"65","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000174775","HRAS"
"66","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000177606","JUN"
"67","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000133703","KRAS"
"68","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000169032","MAP2K1"
"69","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000126934","MAP2K2"
"70","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000100030","MAPK1"
"71","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000102882","MAPK3"
"72","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000213281","NRAS"
"73","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000132155","RAF1"
"74","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000197122","SRC"
"75","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT","ENSG00000164885","CDK5"
"76","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT","ENSG00000186868","MAPT"
"77","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT","ENSG00000167552","TUBA1A"
"78","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT","ENSG00000123416","TUBA1B"
"79","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT","ENSG00000167553","TUBA1C"
"80","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT","ENSG00000198033","TUBA3C"
"81","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT","ENSG00000075886","TUBA3D"
"82","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT","ENSG00000152086","TUBA3E"
"83","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT","ENSG00000127824","TUBA4A"
"84","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT","ENSG00000183785","TUBA8"
"85","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT","ENSG00000196230","TUBB"
"86","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT","ENSG00000101162","TUBB1"
"87","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT","ENSG00000137267","TUBB2A"
"88","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT","ENSG00000137285","TUBB2B"
"89","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT","ENSG00000258947","TUBB3"
"90","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT","ENSG00000104833","TUBB4A"
"91","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT","ENSG00000188229","TUBB4B"
"92","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT","ENSG00000176014","TUBB6"
"93","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT","ENSG00000261456","TUBB8"
"94","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_JNK_SIGNALING_PATHWAY","ENSG00000170345","FOS"
"95","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_JNK_SIGNALING_PATHWAY","ENSG00000177606","JUN"
"96","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_JNK_SIGNALING_PATHWAY","ENSG00000065559","MAP2K4"
"97","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_JNK_SIGNALING_PATHWAY","ENSG00000076984","MAP2K7"
"98","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_JNK_SIGNALING_PATHWAY","ENSG00000197442","MAP3K5"
"99","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_JNK_SIGNALING_PATHWAY","ENSG00000109339","MAPK10"
"100","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_JNK_SIGNALING_PATHWAY","ENSG00000107643","MAPK8"
"101","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_JNK_SIGNALING_PATHWAY","ENSG00000050748","MAPK9"
"102","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_KEAP1_NRF2_SIGNALIG_PATHWAY","ENSG00000117448","AKR1A1"
"103","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_KEAP1_NRF2_SIGNALIG_PATHWAY","ENSG00000187134","AKR1C1"
"104","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_KEAP1_NRF2_SIGNALIG_PATHWAY","ENSG00000151632","AKR1C2"
"105","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_KEAP1_NRF2_SIGNALIG_PATHWAY","ENSG00000196139","AKR1C3"
"106","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_KEAP1_NRF2_SIGNALIG_PATHWAY","ENSG00000198610","AKR1C4"
"107","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_KEAP1_NRF2_SIGNALIG_PATHWAY","ENSG00000100292","HMOX1"
"108","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_KEAP1_NRF2_SIGNALIG_PATHWAY","ENSG00000079999","KEAP1"
"109","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_KEAP1_NRF2_SIGNALIG_PATHWAY","ENSG00000116044","NFE2L2"
"110","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_KEAP1_NRF2_SIGNALIG_PATHWAY","ENSG00000181019","NQO1"
"111","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY","ENSG00000097007","ABL1"
"112","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY","ENSG00000143322","ABL2"
"113","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY","ENSG00000143727","ACP1"
"114","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY","ENSG00000213341","CHUK"
"115","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY","ENSG00000104365","IKBKB"
"116","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY","ENSG00000269335","IKBKG"
"117","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY","ENSG00000109320","NFKB1"
"118","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY","ENSG00000100906","NFKBIA"
"119","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY","ENSG00000184304","PRKD1"
"120","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY","ENSG00000105287","PRKD2"
"121","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY","ENSG00000115825","PRKD3"
"122","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY","ENSG00000179295","PTPN11"
"123","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY","ENSG00000149177","PTPRJ"
"124","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY","ENSG00000173039","RELA"
"125","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY","ENSG00000197122","SRC"
"126","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000078061","ARAF"
"127","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000157764","BRAF"
"128","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000170345","FOS"
"129","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000174775","HRAS"
"130","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000177606","JUN"
"131","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000133703","KRAS"
"132","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000169032","MAP2K1"
"133","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000126934","MAP2K2"
"134","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000100030","MAPK1"
"135","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000102882","MAPK3"
"136","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000213281","NRAS"
"137","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_RAS_ERK_SIGNALING_PATHWAY","ENSG00000132155","RAF1"
"138","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_NICOTINE_NNK_TO_PI3K_SIGNALING_PATHWAY","ENSG00000169252","ADRB2"
"139","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_NICOTINE_NNK_TO_PI3K_SIGNALING_PATHWAY","ENSG00000142208","AKT1"
"140","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_NICOTINE_NNK_TO_PI3K_SIGNALING_PATHWAY","ENSG00000105221","AKT2"
"141","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_NICOTINE_NNK_TO_PI3K_SIGNALING_PATHWAY","ENSG00000117020","AKT3"
"142","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_NICOTINE_NNK_TO_PI3K_SIGNALING_PATHWAY","ENSG00000002330","BAD"
"143","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_NICOTINE_NNK_TO_PI3K_SIGNALING_PATHWAY","ENSG00000127955","GNAI1"
