"","collection","pathway","gene_id","gene_symbol"
"1","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000165029","ABCA1"
"2","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000154263","ABCA10"
"3","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000144452","ABCA12"
"4","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000179869","ABCA13"
"5","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000107331","ABCA2"
"6","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000167972","ABCA3"
"7","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000198691","ABCA4"
"8","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000154265","ABCA5"
"9","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000154262","ABCA6"
"10","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000064687","ABCA7"
"11","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000141338","ABCA8"
"12","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000154258","ABCA9"
"13","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000085563","ABCB1"
"14","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000135776","ABCB10"
"15","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000073734","ABCB11"
"16","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000005471","ABCB4"
"17","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000004846","ABCB5"
"18","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000115657","ABCB6"
"19","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000131269","ABCB7"
"20","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000197150","ABCB8"
"21","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000150967","ABCB9"
"22","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000103222","ABCC1"
"23","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000124574","ABCC10"
"24","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000121270","ABCC11"
"25","CP:KEGG_LEGACY","KEGG_ABC_TRANSPORTERS","ENSG00000140798","ABCC12"
