"","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"Androgen",-0.891021659360058,1.06626138838073,-1.17106273859886,1.0101550084953,-0.646171300956795,0.507063647768564,-0.936344018821837,1.06111967309294
"EGFR",-0.146103482894178,-0.324867692534919,-0.333564579889563,-0.906273277029008,-0.453323095722758,2.32203957839027,0.327667203260928,-0.485574653580765
"Estrogen",0.974761138597063,-0.993946842787391,0.815889214629498,-0.987644709203394,0.514451874186457,-0.47887680450587,1.28489888461022,-1.12953275552657
"Hypoxia",0.472015569804805,-0.280806945356193,-0.389400233720418,-0.982150273069571,-0.405258450263353,2.26751328803971,-0.193065473853284,-0.488847481581651
"JAK-STAT",1.87631206009682,-0.287216519334506,0.590135213569612,0.38392848775838,-0.313549982145186,-1.60175638767315,-0.206654782828849,-0.441198089443162
"MAPK",-0.574751652309193,-0.777391082116419,-0.897672621112076,-0.456642471832171,-0.135867911414953,2.19534049952942,0.366563571004378,0.280421668251017
"NFkB",-0.834071722752872,-0.512303301191282,-0.110673079784715,-0.148083212735391,1.16014350359479,1.87213050632562,-0.976743158496168,-0.450399534960021
"p53",1.42607573063083,-0.214091788602819,0.703940719701048,-1.01005606685472,0.731091257074516,-1.19206494104651,0.599211820282652,-1.04410673118502
"PI3K",-0.0780214871626905,0.226478292460784,0.0822891044237052,-0.866266576978886,0.585297018591259,1.92247673855762,-0.49212444758842,-1.3801286423034
"TGFb",-1.45145100757219,-0.184355338285997,0.0554760383198405,-0.20241544849739,-0.668663705079604,1.8097446161698,-0.34516302209849,0.986827867043959
"TNFa",-1.02673320593241,-0.282368304687302,-0.224344368755758,0.127325632541757,0.91138700491101,1.88464855030812,-1.16987140357674,-0.220043904808623
"Trail",-0.186923191797947,0.428369977853107,-0.124792794823341,1.04123619145618,-1.57328538659984,-1.26758468474513,0.538501214419892,1.14447867423708
"VEGF",-1.33482344038024,0.00730645813033162,-0.998928102351014,0.266493008541949,0.790595605405928,1.80754736131852,-0.505974664892347,-0.0322162257731333
"WNT",1.31459526376026,-0.59611418368647,0.616362688009834,-1.40759805737704,-0.185867046212752,-0.306927776560608,1.34733498180369,-0.781785869736927
