"","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"Androgen",-0.891021659359992,1.06626138838066,-1.17106273859901,1.01015500849548,-0.646171300956036,0.507063647767949,-0.936344018822215,1.06111967309315
"EGFR",-0.146103482894134,-0.324867692534751,-0.333564579889729,-0.90627327702896,-0.453323095723019,2.32203957839022,0.327667203261107,-0.485574653580731
"Estrogen",0.974761138597119,-0.993946842787461,0.815889214629475,-0.987644709202965,0.514451874186183,-0.478876804505926,1.28489888461038,-1.12953275552677
"Hypoxia",0.47201556980472,-0.280806945356374,-0.389400233720337,-0.982150273069413,-0.405258450263324,2.2675132880398,-0.193065473853502,-0.488847481581537
"JAK-STAT",1.87631206009738,-0.287216519334742,0.590135213569526,0.38392848775794,-0.31354998214538,-1.60175638767248,-0.206654782828857,-0.441198089443415
"MAPK",-0.57475165230926,-0.777391082116259,-0.897672621112098,-0.456642471832092,-0.135867911415122,2.19534049952946,0.366563571004411,0.280421668250945
"NFkB",-0.834071722752613,-0.512303301191494,-0.110673079785608,-0.148083212735665,1.1601435035953,1.87213050632548,-0.976743158496164,-0.45039953495925
"p53",1.42607573063108,-0.214091788603073,0.703940719700893,-1.01005606685463,0.731091257074598,-1.19206494104637,0.599211820282524,-1.044106731185
"PI3K",-0.078021487162443,0.226478292460807,0.0822891044238839,-0.866266576979016,0.585297018591159,1.92247673855753,-0.492124447588403,-1.3801286423035
"TGFb",-1.45145100757161,-0.184355338286624,0.0554760383195462,-0.202415448497461,-0.668663705079312,1.80974461617034,-0.345163022098724,0.986827867043818
"TNFa",-1.02673320593181,-0.282368304687297,-0.224344368756288,0.127325632540923,0.911387004911332,1.88464855030839,-1.16987140357657,-0.220043904808632
"Trail",-0.186923191798548,0.428369977852632,-0.124792794823543,1.04123619145671,-1.57328538659956,-1.26758468474485,0.53850121441973,1.14447867423743
"VEGF",-1.33482344038042,0.00730645813102457,-0.998928102351193,0.266493008541845,0.790595605406041,1.80754736131822,-0.50597466489246,-0.0322162257730515
"WNT",1.31459526376068,-0.596114183686902,0.61636268800922,-1.40759805737724,-0.185867046213324,-0.306927776558961,1.34733498180347,-0.781785869736915
